Date,City,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2022-10-25,Ebonyshire,-1.1,46,15.6,Cloudy
2023-12-29,North Donaldmouth,20.2,17,6.9,Snowy
2024-12-17,Brownside,35.2,27,9.0,Sunny
2025-04-17,Mercadomouth,9.6,20,4.3,Snowy
2022-02-15,South Raymondside,-0.0,14,1.0,Rainy
2024-09-07,Codyfort,37.8,32,16.9,Snowy
2022-03-09,Loganborough,18.0,33,8.2,Snowy
2024-08-06,Barrtown,23.2,44,21.5,Snowy
2020-04-17,Karaport,20.1,80,3.5,Sunny
2020-01-16,Amandaview,24.0,68,29.3,Snowy
2023-05-29,South Isaacchester,-9.1,56,2.1,Sunny
2020-09-20,Lake Daniellemouth,5.4,77,29.3,Cloudy
2022-10-28,Thomasland,5.4,57,1.2,Cloudy
2021-05-25,Cynthiaport,13.0,47,7.2,Snowy
2025-02-10,South Lisaside,4.8,62,16.8,Cloudy
2020-11-23,West Williammouth,29.6,69,15.3,Rainy
2025-06-08,Margaretside,26.4,25,3.0,Cloudy
2021-11-18,Sullivanfurt,2.0,74,8.7,Sunny
2023-01-28,South Gregoryborough,2.4,52,19.6,Snowy
2025-01-05,Floresborough,30.2,93,2.6,Sunny
2021-10-14,Riveraberg,-7.7,93,13.6,Rainy
2023-01-18,Michaelstad,38.6,69,21.0,Sunny
2022-08-18,Edwardbury,37.0,70,16.6,Rainy
2020-10-17,Bonniefurt,24.5,29,1.1,Sunny
2021-10-13,New Jennifer,13.6,36,15.7,Snowy
2020-02-29,Carrville,29.1,73,14.2,Snowy
2020-09-23,South Beverly,-9.2,92,23.7,Sunny
2021-07-24,Seanburgh,-3.9,17,12.4,Sunny
2024-12-17,Lake Tanyamouth,27.6,81,21.3,Rainy
2023-08-22,Shermanchester,39.7,51,2.6,Sunny
